DATE,VMT
01/12/1970,1120328
01/01/1971,1125491
01/02/1971,1128167
01/03/1971,1130918
01/04/1971,1139068
01/05/1971,1144751
01/06/1971,1150149
01/07/1971,1156223
01/08/1971,1161896
01/09/1971,1167932
01/10/1971,1174140
01/11/1971,1180011
01/12/1971,1185615
01/01/1972,1192744
01/02/1972,1200898
01/03/1972,1210850
01/04/1972,1215982
01/05/1972,1223272
01/06/1972,1231104
01/07/1972,1237232
01/08/1972,1244503
01/09/1972,1251285
01/10/1972,1257601
01/11/1972,1262837
01/12/1972,1268362
01/01/1973,1272561
01/02/1973,1276856
01/03/1973,1281420
01/04/1973,1286302
01/05/1973,1290176
01/06/1973,1292770
01/07/1973,1295861
01/08/1973,1300374
01/09/1973,1302634
01/10/1973,1306882
01/11/1973,1310472
01/12/1973,1308288
01/01/1974,1306654
01/02/1974,1300513
01/03/1974,1293759
01/04/1974,1290218
01/05/1974,1287566
01/06/1974,1285595
01/07/1974,1284800
01/08/1974,1284444
01/09/1974,1283237
01/10/1974,1282720
01/11/1974,1283418
01/12/1974,1289645
01/01/1975,1292957
01/02/1975,1297834
01/03/1975,1303168
01/04/1975,1305722
01/05/1975,1310214
01/06/1975,1314714
01/07/1975,1318317
01/08/1975,1320350
01/09/1975,1322624
01/10/1975,1325302
01/11/1975,1327213
01/12/1975,1330075
01/01/1976,1334193
01/02/1976,1341418
01/03/1976,1349632
01/04/1976,1359513
01/05/1976,1366132
01/06/1976,1371872
01/07/1976,1378270
01/08/1976,1384080
01/09/1976,1392112
01/10/1976,1398072
01/11/1976,1404078
01/12/1976,1409163
01/01/1977,1409148
01/02/1977,1413036
01/03/1977,1418712
01/04/1977,1423211
01/05/1977,1428817
01/06/1977,1434010
01/07/1977,1439318
01/08/1977,1443742
01/09/1977,1448514
01/10/1977,1454692
01/11/1977,1460182
01/12/1977,1463409
01/01/1978,1470802
01/02/1978,1475404
01/03/1978,1480479
01/04/1978,1481707
01/05/1978,1487250
01/06/1978,1496812
01/07/1978,1508822
01/08/1978,1521946
01/09/1978,1529128
01/10/1978,1534670
01/11/1978,1539874
01/12/1978,1548212
01/01/1979,1552728
01/02/1979,1555360
01/03/1979,1561731
01/04/1979,1568529
01/05/1979,1566496
01/06/1979,1558805
01/07/1979,1545449
01/08/1979,1535930
01/09/1979,1532121
01/10/1979,1530810
01/11/1979,1530501
01/12/1979,1529132
01/01/1980,1531240
01/02/1980,1528928
01/03/1980,1522701
01/04/1980,1518860
01/05/1980,1517735
01/06/1980,1518222
01/07/1980,1519619
01/08/1980,1518343
01/09/1980,1518249
01/10/1980,1519245
01/11/1980,1519284
01/12/1980,1520856
01/01/1981,1520443
01/02/1981,1522870
01/03/1981,1525489
01/04/1981,1528256
01/05/1981,1531292
01/06/1981,1535158
01/07/1981,1540161
01/08/1981,1544959
01/09/1981,1548662
01/10/1981,1549263
01/11/1981,1550647
01/12/1981,1550270
01/01/1982,1543978
01/02/1982,1541725
01/03/1982,1542109
01/04/1982,1543489
01/05/1982,1549467
01/06/1982,1556033
01/07/1982,1566980
01/08/1982,1576816
01/09/1982,1581942
01/10/1982,1587506
01/11/1982,1589763
01/12/1982,1592481
01/01/1983,1602160
01/02/1983,1606476
01/03/1983,1611108
01/04/1983,1614004
01/05/1983,1617340
01/06/1983,1621967
01/07/1983,1626590
01/08/1983,1630939
01/09/1983,1634566
01/10/1983,1639830
01/11/1983,1646469
01/12/1983,1649106
01/01/1984,1652199
01/02/1984,1657854
01/03/1984,1662347
01/04/1984,1670933
01/05/1984,1678360
01/06/1984,1685025
01/07/1984,1689904
01/08/1984,1697175
01/09/1984,1703311
01/10/1984,1706877
01/11/1984,1710449
01/12/1984,1716768
01/01/1985,1718361
01/02/1985,1720245
01/03/1985,1727362
01/04/1985,1733670
01/05/1985,1739350
01/06/1985,1744650
01/07/1985,1749829
01/08/1985,1754346
01/09/1985,1758696
01/10/1985,1765673
01/11/1985,1769273
01/12/1985,1774762
01/01/1986,1783638
01/02/1986,1787797
01/03/1986,1794556
01/04/1986,1797198
01/05/1986,1800931
01/06/1986,1804598
01/07/1986,1808831
01/08/1986,1813371
01/09/1986,1818409
01/10/1986,1823256
01/11/1986,1830197
01/12/1986,1838241
01/01/1987,1845161
01/02/1987,1857631
01/03/1987,1864021
01/04/1987,1873545
01/05/1987,1880862
01/06/1987,1886318
01/07/1987,1890987
01/08/1987,1894388
01/09/1987,1903110
01/10/1987,1910512
01/11/1987,1918375
01/12/1987,1924327
01/01/1988,1933288
01/02/1988,1939040
01/03/1988,1949303
01/04/1988,1956306
01/05/1988,1966572
01/06/1988,1977436
01/07/1988,1986432
01/08/1988,1993557
01/09/1988,2000445
01/10/1988,2009087
01/11/1988,2016368
01/12/1988,2025586
01/01/1989,2036457
01/02/1989,2041441
01/03/1989,2048595
01/04/1989,2056111
01/05/1989,2062892
01/06/1989,2068296
01/07/1989,2074502
01/08/1989,2084171
01/09/1989,2090425
01/10/1989,2097530
01/11/1989,2104308
01/12/1989,2107040
01/01/1990,2110890
01/02/1990,2117717
01/03/1990,2121498
01/04/1990,2126211
01/05/1990,2130635
01/06/1990,2136070
01/07/1990,2140555
01/08/1990,2143440
01/09/1990,2144529
01/10/1990,2144580
01/11/1990,2146410
01/12/1990,2147501
01/01/1991,2141790
01/02/1991,2141582
01/03/1991,2141887
01/04/1991,2142392
01/05/1991,2145074
01/06/1991,2149012
01/07/1991,2151929
01/08/1991,2158935
01/09/1991,2164114
01/10/1991,2169925
01/11/1991,2168053
01/12/1991,2172214
01/01/1992,2181977
01/02/1992,2188830
01/03/1992,2193532
01/04/1992,2200063
01/05/1992,2204859
01/06/1992,2208624
01/07/1992,2216853
01/08/1992,2217543
01/09/1992,2224857
01/10/1992,2231248
01/11/1992,2238935
01/12/1992,2247152
01/01/1993,2251180
01/02/1993,2253820
01/03/1993,2257911
01/04/1993,2260579
01/05/1993,2269835
01/06/1993,2272017
01/07/1993,2275239
01/08/1993,2280120
01/09/1993,2282977
01/10/1993,2285934
01/11/1993,2290876
01/12/1993,2296705
01/01/1994,2294339
01/02/1994,2297939
01/03/1994,2306260
01/04/1994,2312930
01/05/1994,2313543
01/06/1994,2321409
01/07/1994,2326349
01/08/1994,2331760
01/09/1994,2338506
01/10/1994,2343577
01/11/1994,2351329
01/12/1994,2357588
01/01/1995,2382112
01/02/1995,2386721
01/03/1995,2391758
01/04/1995,2394564
01/05/1995,2400556
01/06/1995,2404646
01/07/1995,2407056
01/08/1995,2411227
01/09/1995,2414582
01/10/1995,2418463
01/11/1995,2422520
01/12/1995,2422774
01/01/1996,2412401
01/02/1996,2417910
01/03/1996,2420855
01/04/1996,2427895
01/05/1996,2433985
01/06/1996,2438166
01/07/1996,2446087
01/08/1996,2455921
01/09/1996,2459659
01/10/1996,2468568
01/11/1996,2474080
01/12/1996,2482201
01/01/1997,2488862
01/02/1997,2496250
01/03/1997,2504030
01/04/1997,2510067
01/05/1997,2517473
01/06/1997,2524176
01/07/1997,2535780
01/08/1997,2540226
01/09/1997,2546169
01/10/1997,2551734
01/11/1997,2554513
01/12/1997,2560373
01/01/1998,2567117
01/02/1998,2570334
01/03/1998,2572604
01/04/1998,2579235
01/05/1998,2581052
01/06/1998,2587531
01/07/1998,2590762
01/08/1998,2594409
01/09/1998,2600323
01/10/1998,2607627
01/11/1998,2616383
01/12/1998,2625364
01/01/1999,2622075
01/02/1999,2626393
01/03/1999,2632934
01/04/1999,2636009
01/05/1999,2638896
01/06/1999,2646133
01/07/1999,2649305
01/08/1999,2653665
01/09/1999,2658510
01/10/1999,2663618
01/11/1999,2674296
01/12/1999,2679458
01/01/2000,2689319
01/02/2000,2697095
01/03/2000,2708822
01/04/2000,2715524
01/05/2000,2727239
01/06/2000,2734232
01/07/2000,2736256
01/08/2000,2742585
01/09/2000,2746178
01/10/2000,2749038
01/11/2000,2750001
01/12/2000,2746926
01/01/2001,2753169
01/02/2001,2754784
01/03/2001,2754881
01/04/2001,2759696
01/05/2001,2762552
01/06/2001,2763087
01/07/2001,2768310
01/08/2001,2773752
01/09/2001,2772165
01/10/2001,2776724
01/11/2001,2784416
01/12/2001,2795610
01/01/2002,2801140
01/02/2002,2808501
01/03/2002,2811984
01/04/2002,2816697
01/05/2002,2823086
01/06/2002,2827456
01/07/2002,2833485
01/08/2002,2838877
01/09/2002,2846190
01/10/2002,2850696
01/11/2002,2850833
01/12/2002,2855509
01/01/2003,2858828
01/02/2003,2854268
01/03/2003,2854877
01/04/2003,2857066
01/05/2003,2858564
01/06/2003,2862841
01/07/2003,2868554
01/08/2003,2870575
01/09/2003,2874401
01/10/2003,2882893
01/11/2003,2885943
01/12/2003,2890221
01/01/2004,2894137
01/02/2004,2904169
01/03/2004,2918893
01/04/2004,2930446
01/05/2004,2934437
01/06/2004,2939675
01/07/2004,2943539
01/08/2004,2945688
01/09/2004,2951752
01/10/2004,2952200
01/11/2004,2958298
01/12/2004,2964789
01/01/2005,2966411
01/02/2005,2972672
